publish_time,title,company,sentiment,confidence,sentence_text,strategy_note,url
2026-01-09 07:36:27,天使融资一千万谈何造火箭？起底蓝箭航天十年融资路东方财富网,东方财富网,负面 (利空),93.16%,起底蓝箭航天十年融资路东方财富网。,AI推理,https://finance.eastmoney.com/a/202601093613245369.html
2026-01-09 07:36:27,天使融资一千万谈何造火箭？起底蓝箭航天十年融资路东方财富网,蓝箭航天,负面 (利空),92.72%,起底蓝箭航天十年融资路东方财富网。,AI推理,https://finance.eastmoney.com/a/202601093613245369.html
2026-01-09 07:36:27,天使融资一千万谈何造火箭？起底蓝箭航天十年融资路东方财富网,蓝箭航天,正面 (利好),99.88%,全新妙想投研助理，立即体验2025年最后一天，蓝箭航天科创板IPO申请获上交所受理，拟募资75亿元，正式向科创板商业火箭第一股发起冲刺。,AI推理,https://finance.eastmoney.com/a/202601093613245369.html
2026-01-09 07:36:27,天使融资一千万谈何造火箭？起底蓝箭航天十年融资路东方财富网,SpaceX,正面 (利好),99.96%,此时距离这家头顶中国版SpaceX光环的民营商业火箭公司成立已逾10年。,AI推理,https://finance.eastmoney.com/a/202601093613245369.html
2026-01-09 07:36:27,天使融资一千万谈何造火箭？起底蓝箭航天十年融资路东方财富网,Spac,正面 (利好),99.96%,此时距离这家头顶中国版SpaceX光环的民营商业火箭公司成立已逾10年。,AI推理,https://finance.eastmoney.com/a/202601093613245369.html
2026-01-09 07:36:27,天使融资一千万谈何造火箭？起底蓝箭航天十年融资路东方财富网,蓝箭航天,正面 (利好),99.35%,2015年，金融从业者张昌武蓝箭航天董事长总经理联合两位航天领域专家，设立蓝箭航天。,AI推理,https://finance.eastmoney.com/a/202601093613245369.html
2026-01-09 07:36:27,天使融资一千万谈何造火箭？起底蓝箭航天十年融资路东方财富网,蓝箭航天,负面 (利空),54.76%,彼时，民营商业航天尚处于起步阶段，蓝箭航天三人团队提出要融资1000万元去造火箭时，业内普遍觉得不靠谱，甚至质疑为骗局。,AI推理,https://finance.eastmoney.com/a/202601093613245369.html
2026-01-09 07:36:27,天使融资一千万谈何造火箭？起底蓝箭航天十年融资路东方财富网,蓝箭航天,正面 (利好),79.78%,一位刚接触天使投资的航天爱好者牛旼，在交流后感觉还很靠谱，于是投出其第一笔商业航天投资，这即是蓝箭航天的天使轮融资。,AI推理,https://finance.eastmoney.com/a/202601093613245369.html
2026-01-09 07:36:27,天使融资一千万谈何造火箭？起底蓝箭航天十年融资路东方财富网,蓝箭航天,正面 (利好),97.82%,从天使轮1000万元到IPO拟募资75亿元，伴随着10年融资路，蓝箭航天也成长为中国商业航天的拓荒者。,AI推理,https://finance.eastmoney.com/a/202601093613245369.html
2026-01-09 07:36:27,天使融资一千万谈何造火箭？起底蓝箭航天十年融资路东方财富网,蓝箭航天,正面 (利好),98.06%,早期投资机构的忐忑2016年，蓝箭航天核心团队在北京和上海寻求融资。,AI推理,https://finance.eastmoney.com/a/202601093613245369.html
2026-01-09 07:36:27,天使融资一千万谈何造火箭？起底蓝箭航天十年融资路东方财富网,蓝箭航天,正面 (利好),98.79%,领中资本管理合伙人黄岩接待了蓝箭航天团队。,AI推理,https://finance.eastmoney.com/a/202601093613245369.html
2026-01-09 07:36:27,天使融资一千万谈何造火箭？起底蓝箭航天十年融资路东方财富网,领中资本,正面 (利好),98.83%,领中资本管理合伙人黄岩接待了蓝箭航天团队。,AI推理,https://finance.eastmoney.com/a/202601093613245369.html
2026-01-09 07:36:27,天使融资一千万谈何造火箭？起底蓝箭航天十年融资路东方财富网,蓝箭航天,正面 (利好),99.32%,在尽职调查阶段，不少人曾规劝他放弃投资，理由是民营公司涉足火箭发射，连发射场资源都不具备，但他最终还是决定参与蓝箭航天A轮融资。,AI推理,https://finance.eastmoney.com/a/202601093613245369.html
2026-01-09 07:36:27,天使融资一千万谈何造火箭？起底蓝箭航天十年融资路东方财富网,SpaceX,正面 (利好),99.93%,彼时SpaceX已开展火箭发射尝试，虽多次失败，但为行业估值与融资提供了可参考的样本；,AI推理,https://finance.eastmoney.com/a/202601093613245369.html
2026-01-09 07:36:27,天使融资一千万谈何造火箭？起底蓝箭航天十年融资路东方财富网,Spac,正面 (利好),99.96%,彼时SpaceX已开展火箭发射尝试，虽多次失败，但为行业估值与融资提供了可参考的样本；,AI推理,https://finance.eastmoney.com/a/202601093613245369.html
